country;year;pop;continent;lifeExp;gdpPercap;code;child_mortality;co2_share;daily_protein_consumption;literacy_rate
Afghanistan;1952;8425333.0;Asia;28.801;779.4453145;AFG;422.43333333333334;0.0001;;
Afghanistan;1957;9240934.0;Asia;30.332;820.8530296;AFG;376.1;0.0004;;
Afghanistan;1962;10267083.0;Asia;31.997;853.10071;AFG;348.6;0.0011;82.98;
Afghanistan;1967;11537966.0;Asia;34.02;836.1971382;AFG;323.7;0.0022;85.25;
Afghanistan;1972;13079460.0;Asia;36.088;739.9811058;AFG;299.0;0.0034;75.75;
Afghanistan;1977;14880372.0;Asia;38.438;786.11336;AFG;272.7;0.0047;71.13;
Afghanistan;1982;12881816.0;Asia;39.854;978.0114388;AFG;242.1;0.0056;70.58;
Afghanistan;1987;13867957.0;Asia;40.822;852.3959448;AFG;203.3;0.0069;76.41;
Afghanistan;1992;16317921.0;Asia;41.674;649.3413952;AFG;164.6;0.0074;54.72;
Afghanistan;1997;22227415.0;Asia;41.763;635.341351;AFG;143.0;0.0072;56.82;
Afghanistan;2002;25268405.0;Asia;42.129;726.7340548;AFG;129.4;0.0068;53.35;
Afghanistan;2007;31889923.0;Asia;43.828;974.5803384;AFG;112.9;0.0066;56.0;
Albania;1952;1282697.0;Europe;55.23;1601.056136;ALB;158.94785714285715;0.0034;;
Albania;1957;1476505.0;Europe;59.28;1942.284244;ALB;145.5925;0.0043;;
Albania;1962;1728137.0;Europe;64.82;2312.888958;ALB;132.23714285714286;0.0066;66.12;
Albania;1967;1984060.0;Europe;66.22;2760.196931;ALB;118.88178571428571;0.0086;66.39;
Albania;1972;2263554.0;Europe;67.69;3313.422188;ALB;105.52642857142857;0.0116;70.68;
Albania;1977;2509048.0;Europe;68.93;3533.00391;ALB;92.17107142857144;0.0144;81.38;
Albania;1982;2780097.0;Europe;70.42;3630.880722;ALB;66.9;0.0175;79.05;
Albania;1987;3075321.0;Europe;72.0;3738.932735;ALB;47.4;0.0204;73.83;
Albania;1992;3326498.0;Europe;71.581;2497.437901;ALB;37.3;0.0211;85.19;
Albania;1997;3428038.0;Europe;72.95;3193.054604;ALB;30.3;0.0196;89.03;
Albania;2002;3508512.0;Europe;75.651;4604.211737;ALB;23.6;0.0188;97.92;
Albania;2007;3600523.0;Europe;76.423;5937.029526;ALB;18.7;0.0182;97.28;
Algeria;1952;9279525.0;Africa;43.077;2449.008185;DZA;270.598;0.0078;;
Algeria;1957;10270856.0;Africa;45.685;3013.976023;DZA;247.2;0.0151;;
Algeria;1962;11000948.0;Africa;48.303;2550.81688;DZA;247.2;0.0218;43.54;
Algeria;1967;12760499.0;Africa;51.407;3246.991771;DZA;251.0;0.0276;43.13;
Algeria;1972;14760787.0;Africa;54.518;4182.663766;DZA;233.8;0.0412;48.71;
Algeria;1977;17152804.0;Africa;58.014;4910.416756;DZA;186.7;0.0683;57.32;
Algeria;1982;20033753.0;Africa;61.368;5745.160213;DZA;115.5;0.0989;65.62;
Algeria;1987;23254956.0;Africa;65.799;5681.358539;DZA;55.7;0.1339;71.79;49.630878
Algeria;1992;26298373.0;Africa;67.744;5023.216647;DZA;45.1;0.1635;76.48;
Algeria;1997;29072015.0;Africa;69.152;4797.295051;DZA;41.2;0.1903;72.98;
Algeria;2002;31287142.0;Africa;70.994;5288.040382;DZA;37.8;0.211;79.91;69.873497
Algeria;2007;33333216.0;Africa;72.301;6223.367465;DZA;30.7;0.2262;83.21;
Angola;1952;4232095.0;Africa;30.015;3520.610273;AGO;394.65;0.0003;;
Angola;1957;4561361.0;Africa;31.999;3827.940465;AGO;359.07;0.001;;
Angola;1962;4826015.0;Africa;34.0;4269.276742;AGO;318.97;0.0019;37.47;
Angola;1967;5247469.0;Africa;35.985;5522.776375;AGO;280.69;0.0032;41.13;
Angola;1972;5894858.0;Africa;37.928;5473.288005;AGO;254.81599999999997;0.0062;39.19;
Angola;1977;6162675.0;Africa;39.483;3008.647355;AGO;240.55599999999998;0.0091;45.01;
Angola;1982;7016384.0;Africa;39.942;2756.953672;AGO;230.2;0.0118;44.47;
Angola;1987;7874230.0;Africa;39.906;2430.208311;AGO;226.6;0.0136;40.74;
Angola;1992;8735988.0;Africa;40.647;2627.845685;AGO;225.9;0.0148;33.94;
Angola;1997;9875024.0;Africa;40.963;2277.140884;AGO;222.4;0.0171;38.58;
Angola;2002;10866106.0;Africa;41.003;2773.287312;AGO;212.1;0.0196;42.98;
Angola;2007;12420476.0;Africa;42.731;4797.231267;AGO;196.8;0.0249;47.9;
Argentina;1952;17876956.0;Americas;62.485;5911.315053;ARG;88.79;0.257;;
Argentina;1957;19610538.0;Americas;64.399;6856.856212;ARG;93.6;0.2965;;
Argentina;1962;21283783.0;Americas;65.142;7133.166023;ARG;65.91;0.3304;103.74;
Argentina;1967;22934225.0;Americas;65.634;8052.953021;ARG;58.6;0.3575;101.79;
Argentina;1972;24779799.0;Americas;67.065;9443.038526;ARG;70.3;0.3895;92.13;
Argentina;1977;26983828.0;Americas;68.481;10079.02674;ARG;55.8;0.4165;104.68;
Argentina;1982;29341374.0;Americas;69.942;8997.897412;ARG;37.7;0.437;97.49;
Argentina;1987;31620918.0;Americas;70.774;9139.671389;ARG;30.8;0.4503;100.7;
Argentina;1992;33958947.0;Americas;71.868;9308.41871;ARG;25.7;0.4609;97.92;
Argentina;1997;36203463.0;Americas;73.275;10967.28195;ARG;22.0;0.4722;100.98;
Argentina;2002;38331121.0;Americas;74.34;8797.640716;ARG;19.2;0.4817;90.42;
Argentina;2007;40301927.0;Americas;75.32;12779.37964;ARG;15.8;0.4899;98.83;
Australia;1952;8691212.0;Oceania;69.12;10039.59564;AUS;30.3;0.5979;;
Australia;1957;9712569.0;Oceania;70.33;10949.64959;AUS;26.6;0.6443;;
Australia;1962;10794968.0;Oceania;70.93;12217.22686;AUS;23.7;0.6869;107.88;
Australia;1967;11872264.0;Oceania;71.1;14526.12465;AUS;22.0;0.7356;105.62;
Australia;1972;13177000.0;Oceania;71.93;16788.62948;AUS;20.2;0.7784;110.05;
Australia;1977;14074100.0;Oceania;73.49;18334.19751;AUS;15.3;0.8161;110.33;
Australia;1982;15184200.0;Oceania;74.74;19477.00928;AUS;12.2;0.8657;106.8;
Australia;1987;16257249.0;Oceania;76.32;21888.88903;AUS;10.6;0.9121;108.36;
Australia;1992;17481977.0;Oceania;77.56;23424.76683;AUS;8.1;0.956;104.26;
Australia;1997;18565243.0;Oceania;78.83;26997.93657;AUS;6.6;0.9997;103.99;
Australia;2002;19546792.0;Oceania;80.37;30687.75473;AUS;6.0;1.0474;104.81;
Australia;2007;20434176.0;Oceania;81.235;34435.36744;AUS;5.4;1.0806;108.33;
Afghanistan;1997;22227415.0;Asia;41.763;635.341351;AFG;143.0;0.0072;56.82;
Austria;1952;6927772.0;Europe;66.8;6137.076492;AUT;59.54;0.701;;
Austria;1957;6965860.0;Europe;67.48;8842.59803;AUT;49.9;0.6581;;
Austria;1962;7129864.0;Europe;69.54;10750.72111;AUT;37.9;0.6122;89.72;
Austria;1967;7376998.0;Europe;70.14;12834.6024;AUT;30.5;0.5711;88.97;
Austria;1972;7544201.0;Europe;70.63;16661.6256;AUT;28.0;0.5334;90.65;
Austria;1977;7568430.0;Europe;72.17;19749.4223;AUT;19.4;0.5008;91.17;
Austria;1982;7574613.0;Europe;73.18;21597.08362;AUT;14.7;0.4701;95.82;
Austria;1987;7578903.0;Europe;74.94;23687.82607;AUT;11.1;0.4439;98.73;
Austria;1992;7914969.0;Europe;76.04;27042.01868;AUT;8.5;0.4208;103.95;
Austria;1997;8069876.0;Europe;77.51;29095.92066;AUT;6.0;0.4038;100.08;
Austria;2002;8148312.0;Europe;78.98;32417.60769;AUT;5.3;0.3895;106.05;
Austria;2007;8199783.0;Europe;79.829;36126.4927;AUT;4.6;0.3748;103.67;
Bahrain;1952;120447.0;Asia;50.939;9867.084765;BHR;306.57666666666665;0.0205;;
Bahrain;1957;138655.0;Asia;53.832;11635.79945;BHR;259.2;0.0197;;
Bahrain;1962;171863.0;Asia;56.923;12753.27514;BHR;167.3;0.0189;;
Bahrain;1967;202182.0;Asia;59.923;14804.6727;BHR;103.5;0.0176;;
Bahrain;1972;230800.0;Asia;63.3;18268.65839;BHR;62.5;0.0173;;
Bahrain;1977;297410.0;Asia;65.593;19340.10196;BHR;40.1;0.0202;;
Bahrain;1982;377967.0;Asia;69.052;19211.14731;BHR;28.7;0.0238;;
Bahrain;1987;454612.0;Asia;70.75;18524.02406;BHR;23.7;0.0274;;
Bahrain;1992;529491.0;Asia;72.601;19035.57917;BHR;21.9;0.0308;;
Bahrain;1997;598561.0;Asia;73.925;20292.01679;BHR;15.3;0.0351;;
Bahrain;2002;656397.0;Asia;74.795;23403.55927;BHR;11.9;0.0389;;
Bahrain;2007;708573.0;Asia;75.635;29796.04834;BHR;9.9;0.0423;;
Bangladesh;1952;46886859.0;Asia;37.484;684.2441716;BGD;331.7;0.0;;
Bangladesh;1957;51365468.0;Asia;39.348;661.6374577;BGD;286.3;0.0;;
Bangladesh;1962;56839289.0;Asia;41.216;686.3415538;BGD;250.8;0.0027;44.85;
Bangladesh;1967;62821884.0;Asia;43.453;721.1860862;BGD;228.7;0.0064;41.42;
